DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia Link,Drugs.com link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00024,Thyrotropin Alfa,9002-71-5,BiotechDrug,"","",,,"",PA451681,"",P01225,FSHB_HUMAN,M16647,2246016,http://www.rxlist.com/cgi/generic2/thyrotropin.htm,"","",http://www.drugs.com/cdi/thyrotropin-alfa.html,58468-1849-4,,,DAP001248
DB00025,Antihemophilic Factor,"",BiotechDrug,"","",,,"",PA448445,"",P00451,FA8_HUMAN,M14113,2242491,http://www.rxlist.com/cgi/generic2/hemofilm.htm,"",http://en.wikipedia.org/wiki/Antihemophilic_Factor,http://www.drugs.com/cdi/antihemophilic-factor-human.html,0026-3782-20,,,
DB00026,Anakinra,143090-92-0,BiotechDrug,"",D02934,,,"",PA10799,"",P18510,IL1RA_HUMAN,M55646,2245913,http://www.rxlist.com/cgi/generic/anakinra.htm,"",http://en.wikipedia.org/wiki/Anakinra,http://www.drugs.com/cdi/anakinra.html,"",,,DAP000095
DB00027,Gramicidin D,1405-97-6,BiotechDrug,"","",,,"","","","","","",422908,"","",http://en.wikipedia.org/wiki/Gramicidin_D,"","",,,DAP001327
DB00028,Intravenous Immunoglobulin,9007-83-4,BiotechDrug,"","",,,"","","",P01877,IGHA2_HUMAN,J00221,2230920,http://www.rxlist.com/cgi/generic2/baygam.htm,"","",http://www.drugs.com/cdi/immune-globulin-human.html,67467-843-01,,,
DB00029,Anistreplase,81669-57-0,BiotechDrug,"","",,,"",PA448439,"",P00750,TPA_HUMAN,L00153,2229390,"","",http://en.wikipedia.org/wiki/Anistreplase,,,,,DAP001197
DB00030,Insulin recombinant,9004-10-8,BiotechDrug,C00723,D00085,,,"","","",Q8HXV2,INS_PONPY,AY137503,795879,http://www.rxlist.com/cgi/generic3/novolog.htm,"","",,,,,DAP000802
DB00031,Tenecteplase,191588-94-0,BiotechDrug,"",D06070,,,"",PA451610,"",P00750,TPA_HUMAN,L00153,2244826,http://www.rxlist.com/cgi/generic2/tenecteplase.htm,"",http://en.wikipedia.org/wiki/Tenecteplase,http://www.drugs.com/mtm/tenecteplase.html,50242-038-61,,,DAP000204
DB00032,Menotropins,61489-71-2,BiotechDrug,"","",,,"",PA10808,"",P01229,LSHB_HUMAN,X00264,2247790,http://www.rxlist.com/cgi/generic/menotropins.htm,"",http://en.wikipedia.org/wiki/Menotropins,http://www.drugs.com/cdi/menotropins.html,"",,,DAP001027
DB00033,Interferon gamma-1b,82115-62-6,BiotechDrug,"","",,,"",PA450040,"",P01579,IFNG_HUMAN,X13274,,"","",http://en.wikipedia.org/wiki/Interferon_gamma-1b,http://www.drugs.com/cdi/interferon-gamma-1b.html,"",,,DAP001286
DB00034,"Interferon Alfa-2a, Recombinant",77907-69-8,BiotechDrug,"","",,,"",PA10113,"",P01563,IFNA2_HUMAN,J00207,2217066,http://www.rxlist.com/cgi/generic3/roferon.htm,"","",http://www.drugs.com/cdi/interferon-alfa-2a-solution.html,0004-2015-09,,,DAP000801
DB00035,Desmopressin,16679-58-6,BiotechDrug,"","",,,"","","","","","",2257718,http://www.rxlist.com/cgi/generic3/desmoprt.htm,"",http://en.wikipedia.org/wiki/Desmopressin,http://www.drugs.com/cdi/desmopressin.html,55566-5020-1,,,DNC000526
DB00036,Coagulation factor VIIa,9001-25-6,BiotechDrug,C03378,D00172,,,"","","",P08709,FA7_HUMAN,M13232,,http://www.rxlist.com/cgi/generic3/novoseven.htm,"",http://en.wikipedia.org/wiki/Factor_VII,http://www.drugs.com/cdi/coagulation-factor-viia-recombinant.html,0169-7010-01,,,
DB00038,Oprelvekin,145941-26-0,BiotechDrug,"","",,,"",PA450711,"",P20809,IL11_HUMAN,M57765,,http://www.rxlist.com/cgi/generic3/oprelvek.htm,"",http://en.wikipedia.org/wiki/Oprelvekin,http://www.drugs.com/cdi/oprelvekin.html,58394-004-01,,,DAP001287
DB00039,Palifermin,162394-19-6,BiotechDrug,"","",,,"","","",P21781,FGF7_HUMAN,M60828,2274221,http://www.rxlist.com/cgi/generic/kepivance.htm,"",http://en.wikipedia.org/wiki/Palifermin,http://www.drugs.com/cdi/palifermin.html,55513-520-06,,,DAP001026
DB00040,Glucagon recombinant,9007-92-5,BiotechDrug,C01501,D00116,,,"","","",Q8MJ25,GLUC_SHEEP,AF529185,2243297,http://www.rxlist.com/cgi/generic2/gluca.htm,"",http://en.wikipedia.org/wiki/Glucagon_recombinant,http://www.drugs.com/cdi/glucagon.html,0002-8031-01,,,DAP001037
DB00041,Aldesleukin,85898-30-2,BiotechDrug,"","",,,"",PA448081,"",P60569,IL2_HYLLA,M11144,2130181,http://www.rxlist.com/cgi/generic2/aldesleukin.htm,"",http://en.wikipedia.org/wiki/Aldesleukin,http://www.drugs.com/cdi/aldesleukin.html,0078-0495-61,,,DAP001099
DB00042,Botulinum Toxin Type B,93384-44-2,BiotechDrug,"",D02735,,,"",PA448660,"",P10844,BXB_CLOBO,M81186,75108,http://www.rxlist.com/cgi/generic/botulinumtoxin.htm,"",http://en.wikipedia.org/wiki/Botulinum_toxin,http://www.drugs.com/cdi/botulinum-toxin-type-b.html,,,,DAP001272
DB00043,Omalizumab,242138-07-4,BiotechDrug,"","",,,"",PA10374,"",P01857,IGHG1_HUMAN,J00228,2260565,http://www.rxlist.com/cgi/generic/xolair.htm,"",http://en.wikipedia.org/wiki/Omalizumab,http://www.drugs.com/cdi/omalizumab.html,50242-040-62,,,DAP000387
DB00044,Lutropin alfa,152923-57-4,BiotechDrug,"","",,,"",PA10306,"",P01229,LSHB_HUMAN,X00264,2269066,"","",http://en.wikipedia.org/wiki/Lutropin_alfa,http://www.drugs.com/cdi/lutropin-alfa.html,44087-1375-1,,,DAP001103
DB00045,OspA lipoprotein,"",BiotechDrug,"","",,,"","","",P14013,OSPA1_BORBU,X16467,,"","","",,,,,DAP001334
DB00046,Insulin Lispro,133107-64-9,BiotechDrug,"",D04477,,,"",PA450001,"","","","",2241283,http://www.rxlist.com/cgi/generic/insulinlispro.htm,"",http://en.wikipedia.org/wiki/Insulin_lispro,"",0002-7510-01,,,DNC000800
DB00047,Insulin Glargine,160337-95-1,BiotechDrug,"",D03250,,,"",PA449994,"","","","",2245689,http://www.rxlist.com/cgi/generic2/lantus.htm,"",http://en.wikipedia.org/wiki/Insulin_glargine,http://www.drugs.com/cdi/insulin-glargine-cartridge-systems.html,0088-2220-60,,,DAP001088
DB00048,Collagenase,9001-12-1,BiotechDrug,C00816,"",,,"",PA449107,"","","","",2063670,http://www.rxlist.com/cgi/generic3/collagenase.htm,"",http://en.wikipedia.org/wiki/Collagenase,http://www.drugs.com/cdi/collagenase-ointment.html,"",,,DAP000965
DB00049,Rasburicase,134774-45-1,BiotechDrug,"","",,,"",PA10176,"",Q00511,URIC_ASPFL,X61766,2248416,http://www.rxlist.com/cgi/generic3/elitek.htm,"",http://en.wikipedia.org/wiki/Rasburicase,http://www.drugs.com/cdi/rasburicase.html,0024-5150-10,,,
DB00050,Cetrorelix,120287-85-6,BiotechDrug,"",D01685,,,"",PA10255,"","","","",2247767,http://www.rxlist.com/cgi/generic2/cetrorelix.htm,"",http://en.wikipedia.org/wiki/Cetrorelix,http://www.drugs.com/cdi/cetrorelix-acetate.html,44087-1225-1,,,DAP000096
DB00051,Adalimumab,331731-18-1,BiotechDrug,"","",,,"",PA10004,"",P01857,IGHG1_HUMAN,J00228,2258595,http://www.rxlist.com/cgi/generic3/humira.htm,"",http://en.wikipedia.org/wiki/Adalimumab,http://www.drugs.com/cdi/adalimumab.html,0074-3799-02,,,DAP000392
DB00052,Somatropin recombinant,12629-01-5,BiotechDrug,"","",,,"",PA10360,"",P58756,SOMA_PANTR,AF374232,2243079,http://www.rxlist.com/cgi/generic3/nutropin.htm,"",http://en.wikipedia.org/wiki/Somatropin_recombinant,http://www.drugs.com/cdi/somatropin-rdna-origin-nonrefrigerated.html,0169-7704-21,,,DAP001054
DB00053,Imiglucerase,143003-46-7,BiotechDrug,"","",,,"",PA449967,"",P04062,GLCM_HUMAN,M16328,2241751,http://www.rxlist.com/cgi/generic2/imiglucerase.htm,"",http://en.wikipedia.org/wiki/Imiglucerase,http://www.drugs.com/cdi/imiglucerase.html,58468-4663-1,,,
DB00054,Abciximab,143653-53-6,BiotechDrug,"","",,,"",PA448006,"","","","",2216973,http://www.rxlist.com/reopro-drug.htm,"",http://en.wikipedia.org/wiki/Abciximab,http://www.drugs.com/cdi/abciximab.html,0002-7140-01,,,DAP000473
DB00055,Drotrecogin alfa,60202-16-6,BiotechDrug,"","",,,"",PA13154893,"",P04070,PROC_HUMAN,M11228,2247130,http://www.rxlist.com/cgi/generic/drotrecogin.htm,"",http://en.wikipedia.org/wiki/Drotrecogin_alfa,http://www.drugs.com/cdi/drotrecogin-alfa.html,0002-7559-01,,,DAP000151
DB00056,Gemtuzumab ozogamicin,220578-59-6,BiotechDrug,"","",,,"",PA449752,"","","","",,http://www.rxlist.com/cgi/generic2/gemtuzumab.htm,"",http://en.wikipedia.org/wiki/Gemtuzumab_ozogamicin,http://www.drugs.com/cdi/gemtuzumab-ozogamicin.html,0008-4510-01,,,DAP000390
DB00057,Satumomab Pendetide,138955-26-7,BiotechDrug,"","",,,"",PA10321,"","","","",,"","","",,,,,DAP001299
DB00058,Alpha-1-proteinase inhibitor,9041-92-3,BiotechDrug,"","",,,"",PA448329,"",P01009,A1AT_HUMAN,K01396,2204606,http://www.rxlist.com/cgi/generic3/zemaira.htm,"",http://en.wikipedia.org/wiki/Alpha_1-antitrypsin,,0944-2802-01,,,DAP001102
DB00059,Pegaspargase,130167-69-0,BiotechDrug,"","",,,"",PA450833,"",P37595,ASGX_ECOLI,U00096,2236849,http://www.rxlist.com/cgi/generic2/pegaspargase.htm,"",http://en.wikipedia.org/wiki/Pegaspargase,http://www.drugs.com/cdi/pegaspargase.html,57665-002-02,,,
DB00060,Interferon beta-1a,145258-61-3,BiotechDrug,"","",,,"",PA10351,"",P01574,IFNB_HUMAN,V00534,2237319,http://www.rxlist.com/cgi/generic3/rebif.htm,"",http://en.wikipedia.org/wiki/Interferon_beta-1a,http://www.drugs.com/cdi/interferon-beta-1a.html,44087-8822-1,,,DAP001282
DB00061,Pegademase bovine,9026-93-1,BiotechDrug,"","",,,"",PA450832,"",P56658,ADA_BOVIN,AF280603,,http://www.rxlist.com/cgi/generic2/pegademase.htm,"","",http://www.drugs.com/cdi/pegademase-bovine.html,57665-001-01,,,
DB00062,Human Serum Albumin,9048-49-1,BiotechDrug,"","",,,"","","",P02768,ALBU_HUMAN,M12523,427675,http://www.rxlist.com/cgi/generic3/albumin.htm,"","","",0053-7670-06,,,
DB00063,Eptifibatide,188627-80-7,BiotechDrug,"","",,,"",PA449483,"","","","",2240352,http://www.rxlist.com/cgi/generic/eptifibatide.htm,"",http://en.wikipedia.org/wiki/Eptifibatide,http://www.drugs.com/cdi/eptifibatide.html,0085-1177-01,,,DAP000285
DB00064,Serum albumin iodonated,9048-49-1,BiotechDrug,"","",,,"","","",P02768,ALBU_HUMAN,M12523,,"","","","","",,,
DB00065,Infliximab,170277-31-3,BiotechDrug,"","",,,"",PA452639,"",P01857,IGHG1_HUMAN,J00228,2244016,http://www.rxlist.com/cgi/generic3/infliximab.htm,"",http://en.wikipedia.org/wiki/Infliximab,http://www.drugs.com/cdi/infliximab.html,,,,DAP000107
DB00066,Follitropin beta,9002-68-0,BiotechDrug,"","",,,"",PA449695,"",P01225,FSHB_HUMAN,M16647,2243949,http://www.rxlist.com/cgi/generic3/follitrop.htm,"",http://en.wikipedia.org/wiki/Follicle-stimulating_hormone,http://www.drugs.com/cdi/follitropin-alfa-powder.html,0052-0306-31,,,DAP001028
DB00067,Vasopressin,11000-17-2,BiotechDrug,C00840,D00101,,,"",PA451858,"","","","",693820,http://www.rxlist.com/cgi/generic3/vasopressin.htm,"",http://en.wikipedia.org/wiki/Vasopressin,http://www.drugs.com/mtm/vasopressin.html,"",,,DAP000018
DB00068,Interferon beta-1b,145155-23-3,BiotechDrug,C07901,D00746,,,"",PA10114,"",P01574,IFNB_HUMAN,V00534,2169649,http://www.rxlist.com/cgi/generic/interferon_beta.htm,"",http://en.wikipedia.org/wiki/Interferon_beta-1b,http://www.drugs.com/cdi/interferon-beta-1b-solution.html,50419-523-35,,,DAP001283
DB00069,Interferon alfacon-1,118390-30-0,BiotechDrug,"","",,,"",PA450035,"","","",J00207,2239832,http://www.rxlist.com/cgi/generic2/infergen.htm,"","",http://www.drugs.com/cdi/interferon-alfacon-1.html,0187-2007-06,,,DAP001284
DB00070,Hyaluronidase,488712-31-8,BiotechDrug,"","",,,"",PA449893,"",P38567,HYAL1_HUMAN,L13781,2041278,http://www.rxlist.com/cgi/generic/hylenex.htm,"",http://en.wikipedia.org/wiki/Hyaluronidase,http://www.drugs.com/cdi/hyaluronidase.html,0548-9090-10,,,
DB00071,"Insulin, porcine",9004-14-2,BiotechDrug,"","",,,"","","",Q8HXV2,INS_PONPY,AY137503,513644,"","","",,,,,DAP001089
DB00072,Trastuzumab,180288-69-1,BiotechDrug,"","",,,"",PA451743,"",P01857,IGHG1_HUMAN,J00228,2240692,http://www.rxlist.com/cgi/generic/trastuz.htm,"",http://en.wikipedia.org/wiki/Trastuzumab,http://www.drugs.com/cdi/trastuzumab.html,50242-134-68,,,DAP000391
DB00073,Rituximab,174722-31-7,BiotechDrug,"","",,,"",PA451261,"",P01857,IGHG1_HUMAN,J00228,2241927,http://www.rxlist.com/cgi/generic/ritux.htm,"",http://en.wikipedia.org/wiki/Rituximab,http://www.drugs.com/cdi/rituximab.html,50242-053-06,,,DAP000382
DB00074,Basiliximab,152923-56-3,BiotechDrug,"","",,,"",PA448542,"",P01857,IGHG1_HUMAN,J00228,2242815,http://www.rxlist.com/cgi/generic2/basiliximab.htm,"",http://en.wikipedia.org/wiki/Basiliximab,http://www.drugs.com/cdi/basiliximab.html,0078-0393-61,,,DAP000388
DB00075,Muromonab,140608-64-6,BiotechDrug,"",D05092,,,"","","","","","",2015978,"","",http://en.wikipedia.org/wiki/Muromonab,,59676-101-01,,,DAP001301
DB00076,Digoxin Immune Fab,"",BiotechDrug,"","",,,"",PA449321,"","","","",2146967,http://www.rxlist.com/cgi/generic3/digoxinfab.htm,"",http://en.wikipedia.org/wiki/Digoxin_Immune_Fab,http://www.drugs.com/cdi/digoxin-immune-fab.html,0281-0365-10,,,
DB00078,Ibritumomab,174722-31-7,BiotechDrug,"","",,,"","","",P01865,GCAM_MOUSE,J00470,,http://www.rxlist.com/cgi/generic3/zevalin.htm,"",http://en.wikipedia.org/wiki/Ibritumomab,http://www.drugs.com/cdi/ibritumomab-tiuxetan-with-indium-111.html,,,,DAP000383
DB00080,Daptomycin,103060-53-3,BiotechDrug,C12013,D01080,,,"",PA10051,"","","","",,http://www.rxlist.com/cgi/generic3/cubicin.htm,"",http://en.wikipedia.org/wiki/Daptomycin,http://www.drugs.com/cdi/daptomycin.html,67919-011-01,,,DAP001328
DB00081,Tositumomab,192391-48-3,BiotechDrug,"","",,,"","","",P01857,IGHG1_HUMAN,J00228,2270471,http://www.rxlist.com/cgi/generic3/bexxar.htm,"",http://en.wikipedia.org/wiki/Tositumomab,http://www.drugs.com/cdi/iodine-i-131-tositumomab.html,0007-3260-31,,,DAP000384
DB00082,Pegvisomant,218620-50-9,BiotechDrug,"","",,,"",PA10154,"",P58756,SOMA_PANTR,AF374232,2272199,http://www.rxlist.com/cgi/generic3/somavert.htm,"","",http://www.drugs.com/cdi/pegvisomant.html,0009-5176-01,,,DAP000286
DB00083,Botulinum Toxin Type A,93384-43-1,BiotechDrug,C07946,D00783,,,"",PA448659,"",P10845,BXA1_CLOBO,X52066,2243721,http://www.rxlist.com/cgi/generic/botox.htm,"",http://en.wikipedia.org/wiki/Botox,,99207-500-30,,,DAP001298
DB00085,Pancrelipase,53608-75-6,BiotechDrug,"","",,,"",PA450770,"",P04746,AMYP_HUMAN,M18785,783382,http://www.rxlist.com/cgi/generic2/pancrel.htm,"",http://en.wikipedia.org/wiki/Pancrelipase,http://www.drugs.com/cdi/amylase-lipase-protease.html,54868-6067-0,,,
DB00086,Streptokinase,9002-01-1,BiotechDrug,"","",,,"",PA451511,"",P00779,STRP_STREQ,K02986,2018993,http://www.rxlist.com/cgi/generic2/streptokinase.htm,"",http://en.wikipedia.org/wiki/Streptokinase,http://www.drugs.com/cons/streptokinase-intravenous-intracoronary.html,"",,,DAP001198
DB00087,Alemtuzumab,216503-57-0,BiotechDrug,"","",,,"",PA10010,"","","","",2273993,http://www.rxlist.com/cgi/generic/campath.htm,"",http://en.wikipedia.org/wiki/Alemtuzumab,http://www.drugs.com/cdi/alemtuzumab.html,50419-357-03,,,DAP000385
DB00088,Alglucerase,37228-64-1,BiotechDrug,"","",,,"",PA448088,"",P04062,GLCM_HUMAN,M16328,,http://www.rxlist.com/cgi/generic3/ceredase.htm,"",http://en.wikipedia.org/wiki/Alglucerase,http://www.drugs.com/cdi/alglucerase.html,58468-1060-1,,,
DB00089,Capromab,145464-28-4,BiotechDrug,"","",,,"","","","","","",,"","",http://en.wikipedia.org/wiki/Capromab,,57902-817-01,,,DAP001049
DB00090,Laronidase,210589-09-6,BiotechDrug,"","",,,"",PA10125,"",P35475,IDUA_HUMAN,M74715,2254506,http://www.rxlist.com/cgi/generic3/aldurazyme.htm,"",http://en.wikipedia.org/wiki/Laronidase,http://www.drugs.com/cdi/laronidase.html,"",,,
DB00091,Cyclosporine,59865-13-3,BiotechDrug,C05086,D00184,,,4031,PA449167,"","","","",593257,http://www.rxlist.com/cgi/generic/cyclosporine.htm,"",http://en.wikipedia.org/wiki/Cyclosporine,http://www.drugs.com/cdi/cyclosporine-drops.html,0078-0240-15,,,DNC001177
DB00092,Alefacept,222535-22-0,BiotechDrug,"","",,,"",PA10009,"","","","",2259052,http://www.rxlist.com/cgi/generic3/amevive.htm,"",http://en.wikipedia.org/wiki/Alefacept,http://www.drugs.com/cdi/alefacept.html,,,,DAP000540
DB00093,Felypressin,56-59-7,BiotechDrug,"","",,,"","","","","","",,"","",http://en.wikipedia.org/wiki/Felypressin,"","",,,DAP000217
DB00094,Urofollitropin,146479-72-3,BiotechDrug,"","",,,"",PA451835,"",P01225,FSHB_HUMAN,M16647,2268140,http://www.rxlist.com/cgi/generic3/urofollitropin.htm,"",http://en.wikipedia.org/wiki/Urofollitropin,http://www.drugs.com/cdi/urofollitropin-purified.html,55566-8505-2,,,DAP001029
DB00095,Efalizumab,214745-43-4,BiotechDrug,"","",,,"",PA10304,"","","","",2272504,http://www.rxlist.com/cgi/generic3/raptiva.htm,"",http://en.wikipedia.org/wiki/Efalizumab,http://www.drugs.com/cdi/efalizumab.html,,,,DAP001095
DB00096,Serum albumin,9048-49-1,BiotechDrug,"","",,,"","","",P02768,ALBU_HUMAN,M12523,35408,"","",http://en.wikipedia.org/wiki/Serum_albumin,"",0407-2707-03,,,
DB00097,Choriogonadotropin alfa,177073-44-8,BiotechDrug,"","",,,"",PA448984,"",P01233,CGHB_HUMAN,J00117,2262088,http://www.rxlist.com/cgi/generic/ovidrel.htm,"",http://en.wikipedia.org/wiki/Choriogonadotropin_alfa,http://www.drugs.com/cdi/choriogonadotropin-alfa.html,44087-1150-1,,,DAP001030
DB00098,Antithymocyte globulin,"",BiotechDrug,"","",,,"",PA10250,"","","","",2246805,"","","",,,,,DAP001300
DB00099,Filgrastim,143011-72-7,BiotechDrug,"","",,,"",PA449626,"",P09919,CSF3_HUMAN,X03438,1968017,http://www.rxlist.com/cgi/generic/filgrastim.htm,"",http://en.wikipedia.org/wiki/Filgrastim,http://www.drugs.com/cdi/filgrastim.html,55513-530-10,,,DAP000113
DB00100,Coagulation Factor IX,9001-28-9,BiotechDrug,C03101,"",,,"",PA449581,"",P00740,FA9_HUMAN,K02402,2228998,http://www.rxlist.com/cgi/generic2/factorix.htm,"",http://en.wikipedia.org/wiki/Factor_IX,http://www.drugs.com/cdi/coagulation-factor-ix-injection-human.html,0053-7668-02,,,DAP000964
DB00102,Becaplermin,165101-51-9,BiotechDrug,"","",,,"",PA448546,"",P01127,PDGFB_HUMAN,K01401,2239405,http://www.rxlist.com/cgi/generic2/becapler.htm,"",http://en.wikipedia.org/wiki/Becaplermin,http://www.drugs.com/cdi/becaplermin.html,"",,,DAP000028
DB00103,Agalsidase beta,104138-64-9,BiotechDrug,"","",,,"",PA10006,"",P06280,AGAL_HUMAN,X14448,2248966,http://www.rxlist.com/cgi/generic3/fabrazyme.htm,"",http://en.wikipedia.org/wiki/Agalsidase_beta,http://www.drugs.com/cdi/agalsidase-beta.html,58468-0040-1,,,
